Palabras,Frecuencia
de,37
la,31
el,31
y,29
un,27
en,27
que,21
su,18
a,15
se,13
con,11
una,11
las,10
los,8
del,7
lo,7
gato,6
mas,6
max,5
pero,5
pueblo,5
manada,5
raton,4
pez,4
esta,4
perro,4
siempre,4
pequeño,4
para,4
al,4
luna,3
cada,3
pronto,3
estaba,3
encuentra,3
encontraron,3
sus,3
vez,3
encontrar,3
dorado,3
pato,3
tesoro,3
comida,3
dia,3
nieve,3
todos,3
hojas,3
lobo,3
amistad,3
habia,3
demostrando,2
llamado,2
recordandole,2
delfin,2
descubren,2
donde,2
mariposa,2
rodea,2
magico,2
entre,2
por,2
niño,2
momentos,2
pajaro,2
hormiga,2
no,2
nos,2
hay,2
hambre,2
guia,2
guarda,2
oso,2
sapo,2
perros,2
parte,2
explorar,2
abandonado,2
estrella,2
perdida,2
juntos,2
imaginacion,2
lapiz,2
montañas,2
alegria,2
como,2
angel,2
belleza,2
verdadero,2
arbol,2
bosque,2
campo,2
union,2
corazon,2
cosas,2
aprende,2
valentia,2
vida,2
viento,2
compañia,2
cuando,2
solo,2
callejeros,2
siente,2
tormenta,2
cuidado,2
cachorro,2
surgir,2
noche,1
niña,1
acercaron,1
valiente,1
triste,1
saltando,1
nocturno,1
normalidad,1
trazos,1
nemo,1
tranquilo,1
ojos,1
trae,1
olvidado,1
todo,1
nunca,1
mutuamente,1
valiosas,1
melodia,1
madriguera,1
magia,1
volvio,1
volvia,1
vivia,1
vio,1
malas,1
viaje,1
mayor,1
medio,1
mientras,1
necesitaban,1
verdadera,1
ver,1
morir,1
movimiento,1
valor,1
mundo,1
murmullo,1
oscuro,1
mutuo,1
naturaleza,1
oscuridad,1
parque,1
oscuros,1
propia,1
proteger,1
protegiendo,1
proveniente,1
sobre,1
puede,1
snow,1
sin,1
luz,1
adentraron,1
simples,1
ratoncito,1
recordandonos,1
regreso,1
remotos,1
responsabilidad,1
siguieron,1
resto,1
rincon,1
rincones,1
rio,1
sido,1
rodeado,1
rojo,1
proteccion,1
sofia,1
todas,1
solidaridad,1
otoño,1
tienen,1
sabia,1
tiene,1
paso,1
tenian,1
peligrosas,1
pequeña,1
temblando,1
tan,1
susurro,1
suministros,1
sueña,1
suelo,1
acogieron,1
persigue,1
personalidad,1
pesar,1
solucion,1
preparan,1
principio,1
profunda,1
solitario,1
pueden,1
juntas,1
lugar,1
comunidad,1
criaturas,1
convirtio,1
convertido,1
convencido,1
confiando,1
condiciones,1
compartiendo,1
cuenta,1
compañeros,1
comenzaron,1
colores,1
cobra,1
climaticas,1
cielo,1
cubria,1
cuidaba,1
dibuja,1
demostrado,1
determinacion,1
despues,1
desde,1
descubrieron,1
descubre,1
dentro,1
delicadeza,1
da,1
dejando,1
decidieron,1
decide,1
debilidad,1
debiles,1
debil,1
cercano,1
cautela,1
casa,1
aprovecharse,1
ayuda,1
aventurarse,1
aunque,1
atrapados,1
asustado,1
arboles,1
años,1
cantor,1
año,1
amor,1
amigos,1
almacen,1
alla,1
alimentos,1
ayudarlo,1
azules,1
bailar,1
baile,1
bondad,1
bosques,1
boton,1
brillante,1
buenas,1
burlan,1
buscar,1
busqueda,1
cae,1
calor,1
cambio,1
camino,1
cantar,1
devorar,1
dificil,1
lucas,1
horas,1
interrumpida,1
instinto,1
incluso,1
improbables,1
imponentes,1
husky,1
hogares,1
jardin,1
hogar,1
hermoso,1
hermosa,1
hambriento,1
habian,1
ha,1
invisible,1
alguien,1
dificiles,1
lista,1
logra,1
lleva,1
lleno,1
llegar,1
llamaron,1
llamada,1
lider,1
junto,1
libertad,1
lecciones,1
le,1
ladrido,1
labrador,1
afueras,1
grupo,1
granero,1
grande,1
encontrado,1
escuchan,1
escaseaban,1
es,1
era,1
entristece,1
enseña,1
encantado,1
golpeo,1
agil,1
ellos,1
agujero,1
dueño,1
dudarlo,1
dispuesto,1
escuchando,1
escucharon,1
ese,1
espectaculo,1
estacion,1
estanque,1
estilo,1
explora,1
explorando,1
felicidad,1
finalmente,1
forman,1
frio,1
frondosos,1
fuerte,1
fuerza,1
gemido,1
inseparable,1
