Termino,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
encontr,1,0,0,0,1,1,0,0,0,0
mas,1,0,0,1,0,0,0,0,0,1
perr,1,0,0,1,1,1,0,0,0,0
gat,0,0,1,1,1,0,0,0,0,1
man,1,0,0,0,0,0,0,0,0,0
max,1,0,0,0,0,0,0,0,0,0
pequeñ,1,0,0,1,0,0,1,0,0,1
puebl,1,0,0,0,0,0,0,0,0,0
pez,0,0,0,1,1,0,0,0,0,0
raton,0,0,0,0,1,0,0,0,0,1
habi,1,0,0,0,0,0,0,0,0,0
junt,1,0,0,0,0,0,0,0,1,1
explor,1,0,0,1,0,0,0,1,0,0
llam,1,0,0,1,1,1,0,0,0,0
siempr,1,1,0,0,0,1,0,0,0,0
descubr,1,0,0,1,1,0,0,0,0,1
encuentr,0,0,0,0,1,1,0,1,0,0
bosqu,1,0,1,0,0,0,0,0,0,0
lob,0,0,1,1,1,0,0,0,0,0
lun,1,0,0,0,0,0,0,0,0,0
cuid,1,0,0,0,0,0,0,1,0,0
demostr,1,0,0,0,0,0,1,0,0,0
vez,1,0,0,0,0,0,0,0,0,0
hoj,0,0,0,0,0,0,1,0,1,0
cad,1,0,0,0,0,0,0,0,1,0
com,1,0,1,0,0,0,0,0,0,0
niev,1,0,0,0,0,0,0,0,0,0
niñ,0,1,0,0,0,1,0,1,0,0
oscur,1,1,0,0,0,1,0,0,0,0
escuch,1,0,0,0,0,0,1,0,0,0
verdader,1,0,1,0,1,0,0,0,0,0
tesor,0,0,0,0,1,0,0,0,0,0
pront,1,0,0,0,1,0,0,1,0,0
record,0,1,0,0,0,1,0,0,1,0
amist,0,0,0,1,1,0,0,0,0,1
arbol,0,0,1,0,0,0,0,0,1,0
dor,1,0,0,1,0,0,0,0,0,0
debil,1,0,0,0,0,0,0,0,0,1
dia,1,0,0,1,0,0,0,0,0,0
pat,0,0,1,1,1,0,0,0,0,0
hermos,1,0,0,0,0,0,0,0,1,0
hambr,1,0,0,0,0,0,0,0,0,0
dificil,1,1,0,0,0,0,0,0,0,0
hormig,0,0,0,1,1,0,0,0,0,0
guard,0,1,0,0,0,0,0,0,0,0
imagin,0,0,0,0,1,0,0,1,0,0
estrell,0,0,0,0,0,1,0,0,0,0
gui,0,1,0,0,0,1,0,0,0,0
abandon,1,0,0,0,0,0,0,0,0,0
lapiz,0,0,0,0,0,0,0,1,0,0
rincon,1,0,0,0,0,0,0,0,0,0
vient,0,0,0,0,0,0,1,0,1,0
vid,0,0,0,0,0,0,1,1,0,0
valenti,1,0,0,1,0,0,0,0,0,0
union,1,0,0,0,0,0,0,0,0,0
torment,1,0,0,0,0,0,0,0,0,0
surg,0,0,0,0,0,0,0,1,0,1
sol,0,1,0,0,0,0,0,0,0,0
sap,0,0,1,0,1,0,0,0,0,0
rode,0,1,1,0,0,0,0,0,0,0
pued,0,0,0,0,0,0,0,1,0,1
magic,0,0,0,0,0,0,0,1,0,0
proteg,1,0,0,0,0,0,0,0,0,0
perd,0,0,0,0,0,1,0,0,0,0
part,1,0,0,0,0,0,0,0,0,0
pajar,0,0,0,0,0,0,1,0,0,0
oso,0,0,0,0,1,1,0,0,0,0
delfin,0,0,1,0,1,0,0,0,0,0
montañ,1,0,0,0,0,0,0,0,0,0
moment,0,1,0,0,0,1,0,0,0,0
marip,0,0,1,0,0,0,0,0,0,0
mutu,1,0,0,0,0,0,0,0,0,0
volvi,1,0,0,0,0,0,0,0,0,0
bellez,0,0,1,0,0,0,1,0,0,0
aprend,0,0,0,0,0,0,1,1,0,0
alegri,1,0,0,0,0,0,1,0,0,0
ayud,0,0,0,0,0,1,0,0,0,1
compañi,0,0,1,0,0,0,0,0,0,0
corazon,1,0,0,0,0,1,0,0,0,0
callejer,1,0,0,0,0,0,0,0,0,0
cos,0,0,0,0,0,0,1,1,0,0
camp,0,0,0,0,1,0,0,0,0,1
angel,0,1,0,0,0,0,0,0,0,0
cachorr,1,0,0,0,0,0,0,0,0,0
decid,1,0,0,0,0,0,0,0,0,1
bail,0,0,0,0,0,0,0,0,1,0
aventur,1,0,0,0,0,0,0,0,0,0
aunqu,0,0,0,0,1,0,0,0,0,0
pes,1,0,0,0,0,0,0,0,0,0
personal,0,0,0,0,0,0,0,0,1,0
principi,0,0,0,0,1,0,0,0,0,0
profund,1,0,0,0,0,0,0,0,0,0
prep,0,0,0,0,0,0,0,0,1,0
provenient,1,0,0,0,0,0,0,0,0,0
propi,0,0,0,0,0,0,0,0,1,0
proteccion,0,1,0,0,0,0,0,0,0,0
atrap,1,0,0,0,0,0,0,0,0,0
asust,0,1,0,0,0,0,0,0,0,0
aprovech,0,0,0,0,0,0,0,0,0,1
ratoncit,0,0,0,0,0,0,0,0,0,1
años,1,0,0,0,0,0,0,0,0,0
regres,0,0,0,0,0,1,0,0,0,0
persig,0,0,0,0,0,0,0,0,0,1
dej,1,0,0,0,0,0,0,0,0,0
azul,1,0,0,0,0,0,0,0,0,0
ojos,1,0,0,0,0,0,0,0,0,0
necesit,1,0,0,0,0,0,0,0,0,0
nem,0,0,0,1,0,0,0,0,0,0
busc,1,0,0,0,0,0,0,0,0,0
burl,0,0,0,0,1,0,0,0,0,0
noch,0,1,0,0,0,0,0,0,0,0
nocturn,0,0,0,0,0,1,0,0,0,0
normal,1,0,0,0,0,0,0,0,0,0
nunc,0,1,0,0,0,0,0,0,0,0
olvid,1,0,0,0,0,0,0,0,0,0
peligr,1,0,0,0,0,0,0,0,0,0
buen,0,0,0,0,0,0,0,1,0,0
brillant,0,0,0,0,1,0,0,0,0,0
otoñ,0,0,0,0,0,0,0,0,1,0
boton,0,0,0,0,1,0,0,0,0,0
parqu,0,0,0,0,0,0,0,1,0,0
bond,0,0,0,0,0,1,0,0,0,0
pas,1,0,0,0,0,0,0,0,0,0
respons,0,0,0,0,0,0,0,1,0,0
