Palabras,Frecuencia
mas,6
gato,6
pueblo,5
manada,5
max,5
siempre,4
raton,4
pez,4
perro,4
pequeño,4
encontrar,3
tesoro,3
encuentra,3
encontraron,3
pronto,3
pato,3
dorado,3
dia,3
cada,3
nieve,3
comida,3
vez,3
luna,3
habia,3
lobo,3
amistad,3
hojas,3
juntos,2
descubren,2
demostrando,2
delfin,2
cuidado,2
mariposa,2
lapiz,2
recordandole,2
cosas,2
corazon,2
compañia,2
magico,2
guarda,2
perros,2
guia,2
perdida,2
imaginacion,2
hormiga,2
momentos,2
montañas,2
parte,2
pajaro,2
hambre,2
rodea,2
estrella,2
explorar,2
niño,2
oso,2
abandonado,2
llamado,2
vida,2
solo,2
valentia,2
tormenta,2
callejeros,2
arbol,2
angel,2
union,2
surgir,2
verdadero,2
alegria,2
aprende,2
bosque,2
campo,2
cachorro,2
viento,2
sapo,2
belleza,2
tranquilo,1
mundo,1
nunca,1
trae,1
normalidad,1
nocturno,1
noche,1
triste,1
mutuamente,1
niña,1
mutuo,1
naturaleza,1
trazos,1
necesitaban,1
nemo,1
murmullo,1
valiosas,1
movimiento,1
morir,1
lleno,1
lleva,1
volvia,1
logra,1
lucas,1
vivia,1
lugar,1
vio,1
luz,1
madriguera,1
magia,1
malas,1
viaje,1
verdadera,1
mayor,1
ver,1
medio,1
valor,1
melodia,1
mientras,1
valiente,1
ojos,1
rojo,1
olvidado,1
siguieron,1
proteccion,1
proteger,1
protegiendo,1
proveniente,1
sofia,1
puede,1
snow,1
pueden,1
ratoncito,1
simples,1
sido,1
propia,1
recordandonos,1
regreso,1
remotos,1
responsabilidad,1
resto,1
rincon,1
rincones,1
rio,1
saltando,1
sabia,1
solidaridad,1
llegar,1
oscuridad,1
peligrosas,1
oscuro,1
rodeado,1
todas,1
otoño,1
tenian,1
parque,1
temblando,1
paso,1
tan,1
susurro,1
pequeña,1
profunda,1
suministros,1
sueña,1
suelo,1
solucion,1
persigue,1
personalidad,1
pesar,1
preparan,1
solitario,1
principio,1
oscuros,1
incluso,1
llamaron,1
busqueda,1
calor,1
cambio,1
camino,1
cantar,1
cantor,1
casa,1
cautela,1
cercano,1
cielo,1
climaticas,1
cobra,1
colores,1
comenzaron,1
compañeros,1
compartiendo,1
comunidad,1
condiciones,1
confiando,1
convencido,1
convertido,1
convirtio,1
criaturas,1
cubria,1
cuenta,1
cuidaba,1
debil,1
debiles,1
debilidad,1
decide,1
cae,1
buscar,1
dejando,1
burlan,1
acogieron,1
adentraron,1
afueras,1
agil,1
agujero,1
alguien,1
alimentos,1
alla,1
almacen,1
amigos,1
amor,1
año,1
años,1
aprovecharse,1
arboles,1
asustado,1
atrapados,1
aunque,1
aventurarse,1
ayuda,1
ayudarlo,1
azules,1
bailar,1
baile,1
bondad,1
bosques,1
boton,1
brillante,1
buenas,1
decidieron,1
delicadeza,1
llamada,1
fuerte,1
gemido,1
golpeo,1
grande,1
granero,1
grupo,1
habian,1
hambriento,1
hermosa,1
hermoso,1
hogar,1
hogares,1
horas,1
husky,1
imponentes,1
improbables,1
acercaron,1
inseparable,1
instinto,1
interrumpida,1
invisible,1
jardin,1
juntas,1
junto,1
labrador,1
ladrido,1
lecciones,1
libertad,1
lider,1
lista,1
fuerza,1
frondosos,1
demostrado,1
frio,1
dentro,1
descubre,1
descubrieron,1
despues,1
determinacion,1
devorar,1
dibuja,1
dificil,1
dificiles,1
dispuesto,1
dudarlo,1
dueño,1
encantado,1
encontrado,1
enseña,1
entristece,1
escaseaban,1
escuchan,1
escuchando,1
escucharon,1
espectaculo,1
estacion,1
estanque,1
estilo,1
explora,1
explorando,1
felicidad,1
finalmente,1
forman,1
volvio,1
